Name,Latitude,Longitude
400 강남,37.4982,127.08162
401 서초,37.48462,127.02601
402 강동,37.55556,127.14498
403 송파,37.51151,127.0967
404 강서,37.5739,126.82953
405 양천,37.52823,126.87937
406 도봉,37.66557,127.03042
407 노원,37.62186,127.09192
408 동대문,37.58463,127.06036
409 중랑,37.58551,127.08682
410 기상청,37.4933,126.91746
411 마포,37.55165,126.92915
412 서대문,37.57047,126.94078
413 광진,37.53344,127.08601
414 성북,37.61134,126.99981
415 용산,37.51955,126.97629
416 은평,37.64647,126.94273
417 금천,37.46551,126.90016
418 한강,37.52489,126.93904
419 중구,37.55236,126.98736
421 성동,37.54721,127.03885
422 북악산,37.60344,126.98437
423 구로,37.49328,126.82629
424 강북,37.63801,127.00981
425 남현,37.46347,126.98154
509 관악,37.45284,126.95015
510 영등포,37.52706,126.90705
889 현충원,37.50036,126.97652
