SerialNum,Latitude,Longitude,Height
OC3CL2000086,37.5026605,126.9477157,4.3
OC3CL2000087,37.4843759,126.9477157,5.3
OC3CL2000088,37.4940742,126.9558535,6.3
OC3CL2000089,37.4957957,126.9540341,7.3
OC3CL2000090,37.5049292,126.9388382,8.3
OC3CL200010,37.42877164,127.0160739,3.5
OC3CL200011,37.42201307,127.0242658,4
OC3CL200012,37.54400194,127.0697313,4
OC3CL200013,37.58346942,126.9826224,3
OC3CL200014,37.56357368,126.9845038,3.3
OC3CL200015,37.52338411,127.0224148,3.4
OC3CL200016,37.52588867,127.0391258,3.8
OC3CL200017,37.52411075,127.1286688,4.5
OC3CL200018,37.54688198,127.0416428,3.6
OC3CL200019,37.54026442,126.9937934,3.2
OC3CL200020,37.50127401,127.0263768,3.3
OC3CL200021,37.52553243,127.0282295,4.5
OC3CL200022,37.50309199,127.0498755,3.7
OC3CL200023,37.50359652,127.0515922,3.7
OC3CL200024,37.51839242,127.0234226,3.4
OC3CL200025,37.56003441,126.8258759,3.8
OC3CL200026,37.56668094,126.8261217,3.9
OC3CL200027,37.55904218,126.8360833,3.9
OC3CL200028,37.47915422,126.9537097,3.9
OC3CL200029,37.53768025,127.0852125,4.5
OC3CL200030,37.64583144,127.05039,3.5
OC3CL200031,37.59822113,126.9490369,3
OC3CL200032,37.54529625,127.0435571,3.7
OC3CL200033,37.51214275,127.1043154,3.8
OC3CL200034,37.52591806,126.8635581,4
OC3CL200035,37.6113036,126.917502,3.4
OC3CL200036,37.60514575,126.9235772,2.4
OC3CL200037,37.58142997,126.9846468,4
OC3CL200038,37.58233107,126.983559,3.3
OC3CL200039,37.57878614,127.0071882,2.4
OC3CL200040,37.5777396,127.0080332,3
OC3CL200041,37.56384606,126.9818665,4.5
OC3CL200042,37.56786992,127.0086311,4.1
OC3CL200043,37.56772879,127.0126695,4.1
OC3CL200044,37.56040912,126.978669,3.4
OC3CL200045,37.57782669,126.8133372,2.8
OC3CL200046,37.56053576,126.8547068,3.6
OC3CL200047,37.56160433,126.985559,4.5
OC3CL200048,37.6535602,127.0462197,3.2
OC3CL200049,37.64258575,127.052532,4.4
OC3CL200050,37.66184473,127.0477197,3.3
OC3CL200051,37.64934955,127.0348639,3
OC3CL200052,37.66621365,127.0464686,3.4
OC3CL200053,37.65690709,127.0463949,3.6
OC3CL200054,37.48244974,127.0373399,3.4
OC3CL200055,37.50089183,127.0008701,3.6
OC3CL200056,37.46248315,126.9883535,3.8
OC3CL200057,37.47468281,126.8874063,4.5
OC3CL200058,37.53245995,126.8857541,4.3
OC3CL200059,37.53911722,126.8240324,4.3
OC3CL200060,37.52221023,127.1455199,4.1
OC3CL200061,37.4248203,127.0196764,1.5
OC3CL200062,37.5419464,127.1215875,4.3
OC3CL200063,37.66113377,127.0363947,3.2
OC3CL200064,37.54440989,126.8704137,2.4
OC3CL200065,37.43436316,127.0113356,1.4
OC3CL200066,37.62300566,127.0218915,4.4
OC3CL200067,37.54803257,126.8606334,3.6
OC3CL200068,37.50619475,126.9551335,4.3
OC3CL200069,37.62220907,126.9302785,3.4
OC3CL200070,37.5272027,127.121662,4.4
OC3CL200071,37.55941343,127.1708168,4.2
OC3CL200072,37.55967518,127.1312918,4.3
OC3CL200073,37.49928608,126.9440571,3.8
OC3CL200074,37.54626753,127.1430179,4.8
OC3CL200075,37.50061909,127.0260189,3.7
OC3CL200076,37.48827084,127.0139087,4
OC3CL200077,37.50623299,127.0042288,4
OC3CL200078,37.49793848,127.0268137,4.1
OC3CL200079,37.48573247,126.9833962,3.7
OC3CL200080,37.5566477,127.1448705,4.3
OC3CL200081,37.54514714,127.1275513,4.7
OC3CL200082,37.58013454,126.7999832,3.7
OC3CL200083,37.53182933,127.1496707,4
OC3CL200084,37.54588985,127.12371,4.4
OC3CL200085,37.50205663,127.0154344,2.8
OC3CL200086,37.58116901,126.9321883,4
OC3CL200087,37.55546881,126.8266133,4.1
OC3CL200088,37.66028451,127.0335996,3.5
OC3CL200089,37.65204049,127.0270449,3.6
OC3CL200090,37.52871449,127.1373889,4.6
OC3CL200091,37.54855912,127.170907,4.8
OC3CL200092,37.55888187,127.1356067,4.4
OC3CL200093,37.53821966,127.134581,4.3
OC3CL200094,37.56913389,127.1787659,4.6
OC3CL200095,37.53662302,127.1464696,4.1
OC3CL200096,37.55500134,126.9053084,4
OC3CL200097,37.5423736,127.1437411,4.7
OC3CL200098,37.54961964,127.1579314,4.8
OC3CL200099,37.53062449,127.1284073,4.4
OC3CL200100,37.61999399,127.0437864,2.3
OC3CL200101,37.55048669,127.1395816,4.8
OC3CL200102,37.54742334,127.1312276,4.6
OC3CL200103,37.54049414,127.1482071,4.6
OC3CL200104,37.64061679,127.021637,3.3
OC3CL200105,37.54771228,127.1726824,4.4
OC3CL200106,37.53312245,127.1323931,4.4
OC3CL200107,37.54825641,127.1368244,4.3
OC3CL200108,37.56062598,127.157431,4.4
OC3CL200109,37.5421903,126.8290816,3.8
OC3CL200110,37.55465728,127.1328591,4.5
OC3CL200111,37.52014221,126.8316555,4
OC3CL200112,37.50589814,126.8642202,3.4
OC3CL200113,37.51133256,126.8520614,4.7
OC3CL200114,37.54799097,127.1261418,4.7
OC3CL200115,37.5436034,126.8738447,4.2
OC3CL200116,37.49622929,126.9385648,3.6
OC3CL200117,37.55087372,127.1775763,4.4
OC3CL200118,37.47885234,126.9756084,3.5
OC3CL200119,37.49460854,126.9327849,3.7
OC3CL200120,37.49011052,126.9097343,3.8
OC3CL200121,37.64292463,127.0410278,3.4
OC3CL200122,37.65714093,127.0284523,3.2
OC3CL200123,37.52195425,127.133721,4.5
OC3CL200124,37.65373165,127.0335584,3.5
OC3CL200125,37.66369367,127.0486212,3
OC3CL200126,37.55967397,126.9748398,3
OC3CL200127,37.56027699,126.975354,6
OC3CL200128,37.67501401,127.0426672,3.5
OC3CL200129,37.62331968,127.0460579,3.1
OC3CL200130,37.62523296,127.0138596,3.9
OC3CL200131,37.56320788,127.1723485,4.5
OC3CL200132,37.64400709,127.0039409,4.4
OC3CL200133,37.6146516,127.028974,3.5
OC3CL200134,37.63736615,127.0291526,3.4
OC3CL200135,37.50182482,127.0708615,3.8
OC3CL200136,37.6471793,127.0246187,2.4
OC3CL200137,37.66079952,127.0507561,3.6
OC3CL200138,37.59771864,126.9500063,3.9
OC3CL200139,37.51418744,126.8767166,3.5
OC3CL200140,37.47948708,127.0797096,4.1
OC3CL200141,37.4886613,127.1067158,4.8
OC3CL200142,37.56718217,127.0771395,4.1
OC3CL200143,37.56233608,127.0960647,2.9
OC3CL200144,37.61649398,127.059657,2.9
OC3CL200145,37.63330095,127.0393869,3.2
OC3CL200146,37.57847645,126.9503206,3.3
OC3CL200147,37.59224961,126.9451617,3.4
OC3CL200148,37.57949301,126.9341688,3.1
OC3CL200149,37.58357273,126.910461,3.8
OC3CL200150,37.5771163,126.9036178,3.6
OC3CL200151,37.50999269,126.8546924,4.5
OC3CL200152,37.59563579,126.9156191,3.3
OC3CL200153,37.60164926,126.9614109,4
OC3CL200154,37.60180763,126.98117,3.3
OC3CL200155,37.51637194,127.0208385,2.5
OC3CL200156,37.51889789,127.0286532,4.1
OC3CL200157,37.49238125,127.0945893,4.1
OC3CL200158,37.51939359,127.1393182,4.3
OC3CL200159,37.48581097,126.830672,3.5
OC3CL200160,37.65334887,127.0606327,4.1
OC3CL200161,37.68886228,127.0454035,3.4
OC3CL200162,37.47467186,127.0004762,3.6
OC3CL200163,37.46072485,127.035673,3.6
OC3CL200164,37.56058905,127.0697265,4.5
OC3CL200165,37.4803649,127.1256449,3.8
OC3CL200166,37.5132245,126.867697,4.4
OC3CL200167,37.52259054,126.8888651,3.6
OC3CL200168,37.60039676,126.922413,4.2
OC3CL200169,37.62027046,127.1061538,3.9
OC3CL200170,37.51256716,127.0312446,5
OC3CL200171,37.55869892,127.1443342,3.9
OC3CL200172,37.53273493,126.8463106,3.7
OC3CL200173,37.48248677,126.9141546,3
OC3CL200174,37.48897429,126.906033,3.5
OC3CL200175,37.47950461,127.050789,4
OC3CL200176,37.46507552,127.1069185,3.8
OC3CL200177,37.58870084,126.802494,3.3
OC3CL200178,37.56759287,126.8189344,4.2
OC3CL200179,37.55712905,126.8225904,3.9
OC3CL200180,37.56421468,126.833869,4
OC3CL200181,37.56474481,126.8534306,3.4
OC3CL200182,37.55734709,126.8659034,3.5
OC3CL200183,37.55351048,126.8711211,3.5
OC3CL200184,37.54736269,126.8613494,3.5
OC3CL200185,37.54866094,126.8740316,3.4
OC3CL200186,37.57245123,126.8371703,3.5
OC3CL200187,37.57318498,126.8164742,5.9
OC3CL200188,37.56735274,126.816375,5.9
OC3CL200189,37.47906596,126.9265235,3
OC3CL200190,37.54768518,127.106921,2.4
OC3CL200191,37.49402783,126.8182427,3.3
OC3CL200192,37.48329114,126.8414001,3.6
OC3CL200193,37.48482285,126.9014312,3.6
OC3CL200194,37.56997647,126.9755166,3.8
OC3CL200195,37.60487617,127.0708027,3.8
OC3CL200196,37.58753193,127.0425772,3.7
OC3CL200197,37.5810902,127.0450743,3.8
OC3CL200198,37.60363281,127.0398362,3.5
OC3CL200199,37.59544076,127.036678,3.1
OC3CL200200,37.61101097,127.0049249,3.5
OC3CL200201,37.57086928,127.0048453,4.2
OC3CL200202,37.59427032,127.0741118,3.77
OC3CL200203,37.60016479,127.1119185,3.3
OC3CL200204,37.61414691,126.9101602,4.3
OC3CL200205,37.53677728,127.1287361,3.9
OC3CL200206,37.65341035,127.0737034,3.9
OC3CL200207,37.49495788,127.1241947,4.1
