,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Avg
2015,419,425,425,426,427,427,428,432,430,307,308,309,4763,397
2016,306,305,303,297,292,290,244,242,241,244,252,253,3269,272
2017,258,259,197,196,209,189,186,202,205,206,211,210,2528,211
2018,209,209,207,203,198,196,193,190,192,197,200,200,2394,200
2019,199,198,200,198,205,202,202,200,200,201,210,91,2306,192
2020,199,200,197,195,193,186,183,185,178,185,195,195,2291,191
2021,197,194,193,193,193,185,184,185,183,191,196,198,2292,191
2022,200,199,199,199,199,195,188,189,188,190,187,183,2316,193
2023,173,170,166,165,160,0,0,0,0,0,0,0,834,167
2024,150,150,150,147,146,142,142,142,142,141,145,147,1744,145
